Age,Sex,Types,Co2,Exercise,Num_of_use
기타,M,정기,6.35,798.41,23
50대,,단체,0.97,96.47,2
30대,M,단체,1.43,158.26,2
기타,,일일(비회원),10.16,1125.66,11
10대,,일일(회원),0.65,60.09,2
20대,,일일(회원),9.9,1077.89,11
30대,,일일(회원),1.7,191.53,7
40대,,일일(회원),0.27,30.12,1
50대,,일일(회원),0,0,1
기타,,일일(회원),0,0,1
20대,,일일(회원),1.51,161.37,8
10대,F,일일(회원),0.27,28.16,1
20대,F,일일(회원),4.94,507.98,13
30대,F,일일(회원),0,0,1
10대,M,일일(회원),0.53,58.52,2
20대,M,일일(회원),7.82,960.13,10
30대,M,일일(회원),0.35,42.83,3
60대,M,일일(회원),1.07,129.72,2
기타,M,일일(회원),1.56,183.26,5
10대,,정기,1.28,188.33,1
20대,,정기,12.03,1403.46,55
30대,,정기,5.19,666.08,19
40대,,정기,5.54,572.06,14
50대,,정기,8.64,1105.53,27
기타,,정기,1.37,191.67,12
10대,,정기,0.09,7.08,1
20대,,정기,1.58,166.87,3
30대,,정기,1.46,187.89,3
50대,,정기,0.15,21.19,3
10대,F,정기,0.69,70.75,3
20대,F,정기,15.49,1471.84,59
30대,F,정기,7.76,812.93,28
40대,F,정기,3.28,329.48,16
50대,F,정기,0,0,1
기타,F,정기,1.91,212.73,7
10대,M,정기,0.39,46.58,3
20대,M,정기,30.73,3598.67,63
30대,M,정기,13.53,1772.38,48
40대,M,정기,4.64,550.72,10
50대,M,정기,4.46,550.99,8
60대,M,정기,1.65,181,3
기타,M,정기,3.27,412.33,14
20대,,단체,0.88,116.07,2
10대,M,단체,11.26,1248.34,15
기타,,일일(비회원),2.16,239.42,6
10대,,일일(회원),0.5,9.37,1
20대,,일일(회원),14.49,1524.56,18
30대,,일일(회원),2.05,263.36,9
40대,,일일(회원),0,0,1
50대,,일일(회원),0.39,61.5,1
20대,,일일(회원),0.53,59.06,2
10대,F,일일(회원),0,0,1
20대,F,일일(회원),5.45,507.9,10
30대,F,일일(회원),1.18,111.89,8
40대,F,일일(회원),0.81,92.99,3
60대,F,일일(회원),0,0,1
기타,F,일일(회원),0,0,1
10대,M,일일(회원),0.68,70.09,1
20대,M,일일(회원),4.11,471.02,12
30대,M,일일(회원),16.86,2053.63,18
40대,M,일일(회원),3.88,441.17,5
기타,M,일일(회원),0.64,70.68,3
10대,,정기,1.83,203.51,7
20대,,정기,32.23,3373.77,102
30대,,정기,23.51,2711.41,89
40대,,정기,12.71,1279.22,18
50대,,정기,3.7,471.2,10
60대,,정기,0,0,1
기타,,정기,0.35,35.87,4
20대,,정기,5.2,631.52,14
40대,,정기,2.27,320.5,7
50대,,정기,1.47,200.79,3
10대,F,정기,0.99,87.81,2
20대,F,정기,24.61,2319.23,73
30대,F,정기,23.89,2381.99,70
40대,F,정기,16.02,1598.79,52
50대,F,정기,32.21,3034.05,33
60대,F,정기,0.18,20.33,1
70대이상,F,정기,0.2,18.47,1
기타,F,정기,14.34,1309.44,18
10대,M,정기,7.17,911.78,15
20대,M,정기,32.74,3622.91,105
30대,M,정기,52.91,6735.55,165
40대,M,정기,6.95,817.2,19
50대,M,정기,5.27,638.92,9
60대,M,정기,2.26,288.9,8
기타,M,정기,20.85,2702.87,26
20대,,단체,7.19,872.64,5
50대,,단체,3.11,281.77,2
50대,M,단체,1.42,155.06,2
60대,M,단체,4.14,593.89,4
기타,M,단체,2.97,456.19,2
30대,,일일(비회원),0.38,42.05,1
기타,,일일(비회원),17.68,1964.81,16
10대,,일일(회원),22.04,2131.44,18
20대,,일일(회원),34.86,3308.71,36
30대,,일일(회원),11.67,1585.5,13
40대,,일일(회원),2.1,213.08,3
50대,,일일(회원),7.31,792.31,4
기타,,일일(회원),12.2,1452.13,8
20대,,일일(회원),12.78,1203.18,17
30대,,일일(회원),1.71,160.41,3
40대,,일일(회원),5.53,500.39,6
10대,F,일일(회원),9.98,1051.2,7
20대,F,일일(회원),31.39,3151.82,22
30대,F,일일(회원),14.28,1400.7,11
40대,F,일일(회원),0.32,34.41,2
50대,F,일일(회원),17.97,1820.19,7
60대,F,일일(회원),2.58,267.05,4
기타,F,일일(회원),10.11,958.14,6
10대,M,일일(회원),12.2,1722.92,15
20대,M,일일(회원),23.8,2944.63,20
30대,M,일일(회원),27.19,3459.37,17
40대,M,일일(회원),3.85,535.38,5
50대,M,일일(회원),19.15,2389.78,13
60대,M,일일(회원),1.49,203.67,1
기타,M,일일(회원),38.93,4539.9,28
10대,,정기,8.65,944.77,12
20대,,정기,29.72,3609.08,68
30대,,정기,30.53,3772.1,46
40대,,정기,44.82,5436.1,60
50대,,정기,112.81,11086.54,111
60대,,정기,5.75,646.08,15
70대이상,,정기,6.98,872.18,19
기타,,정기,13.14,1366.46,12
20대,,정기,1.41,136.39,2
30대,,정기,4.13,395.63,8
40대,,정기,4.06,510.99,8
50대,,정기,5.88,687.79,8
60대,,정기,9.9,1130.57,4
10대,F,정기,0.66,72.78,3
20대,F,정기,69.11,6845.15,85
30대,F,정기,69.85,6300.41,73
40대,F,정기,14.61,1517.36,26
50대,F,정기,44.1,4414.11,38
60대,F,정기,13.29,1329.42,29
기타,F,정기,10.88,1046.25,20
10대,M,정기,3.63,463.21,3
20대,M,정기,32.89,3919.79,96
30대,M,정기,54.48,6636.54,88
40대,M,정기,24.42,2965.44,63
50대,M,정기,54.38,6669.53,75
60대,M,정기,7.77,1013.98,18
70대이상,M,정기,14.81,1720.92,5
기타,M,정기,30.92,3692.15,44
40대,F,단체,2.07,212.22,3
